,Location,Province,Railway,Protection,Trains Daily,Count,Train Max Speed (mph),Road Max Speed (km/h),Vehicles Daily,Protection_en,Province_en,Railway_en
9267,Ns W25-81-21-5,AB,CN,Passive,4.0,0.0,25.0,60.0,25.0,3,0,18
9268,Ns W25-93-23-5,AB,CN,Passive,1.0,0.0,25.0,80.0,25.0,3,0,18
9269,Ns W26-19-29-3,SK,GSR,Passive,1.0,0.0,25.0,50.0,30.0,3,9,32
9270,Ns W26-20-28-3,SK,GSR,Passive,1.0,0.0,25.0,80.0,1.0,3,9,32
9271,Ns W26-21-22-3,SK,GSR,Passive,1.0,0.0,25.0,80.0,30.0,3,9,32
9272,Ns W26-24-19-3,SK,BSR,Passive,0.1,0.0,15.0,80.0,100.0,3,9,10
9273,Ns W26-25-18-3,SK,BSR,Passive,0.14,0.0,25.0,80.0,10.0,3,9,10
9274,Ns W26-25-20-3,SK,BSR,Passive,0.14,0.0,25.0,80.0,1.0,3,9,10
9275,Ns W26-28-24-3,SK,CN,Passive,3.0,0.0,40.0,80.0,10.0,3,9,18
9276,Ns W26-29-16-3,SK,CN,Passive,4.0,0.0,40.0,30.0,2.0,3,9,18
9277,Ns W26-37-18-3,SK,CN,Passive,27.86,0.0,60.0,80.0,1.0,3,9,18
9278,Ns W26-47-23-3,SK,CN,Passive,5.0,0.0,40.0,80.0,10.0,3,9,18
9279,Ns W26-60-21-4,AB,CN,Passive,1.0,0.0,25.0,80.0,25.0,3,0,18
9280,Ns W27-20-28-3,SK,GSR,Passive,1.0,0.0,25.0,30.0,1.0,3,9,32
9281,Ns W27-25-18-3,SK,BSR,Passive,0.14,0.0,25.0,80.0,100.0,3,9,10
9282,Ns W27-25-20-3,SK,BSR,Passive,0.14,0.0,25.0,80.0,10.0,3,9,10
9283,Ns W27-28-25-3,SK,CN,Passive,3.0,0.0,40.0,80.0,25.0,3,9,18
9284,Ns W27-29-15-3,SK,CN,Passive,4.0,0.0,25.0,80.0,50.0,3,9,18
9285,Ns W27-29-16-3,SK,CN,Passive,4.0,0.0,40.0,80.0,30.0,3,9,18
9286,Ns W27-39-21-3,SK,CN,Passive,27.86,0.0,60.0,20.0,1.0,3,9,18
9287,Ns W27-45-18-3,SK,CN,Passive,5.0,0.0,40.0,50.0,1.0,3,9,18
9288,Ns W28-20-20-3,SK,GSR,Passive,1.0,0.0,25.0,40.0,30.0,3,9,32
9289,Ns W28-20-28-3,SK,GSR,Passive,1.0,0.0,25.0,30.0,10.0,3,9,32
9290,Ns W28-25-18-3,SK,BSR,Passive,0.14,0.0,25.0,80.0,1.0,3,9,10
9291,Ns W28-25-20-3,SK,BSR,Passive,0.1,0.0,15.0,40.0,500.0,3,9,10
9292,Ns W28-25-21-3,SK,BSR,Passive,0.14,0.0,25.0,80.0,75.0,3,9,10
9293,Ns W28-29-15-3,SK,CN,Passive,4.0,0.0,25.0,50.0,2.0,3,9,18
9294,Ns W28-38-19-3,SK,CN,Passive,27.86,0.0,60.0,80.0,1.0,3,9,18
9295,Ns W28-39-21-3,SK,CN,Passive,27.86,1.0,60.0,80.0,1.0,3,9,18
9296,Ns W28-46-20-3,SK,CN,Passive,5.0,0.0,40.0,80.0,5.0,3,9,18
9297,Ns W28-49-27-3,SK,CN,Passive,5.0,0.0,40.0,50.0,30.0,3,9,18
9298,Ns W28-65-16-4,AB,CN,Passive,1.0,0.0,25.0,30.0,50.0,3,0,18
9299,Ns W29-25-18-3,SK,BSR,Passive,0.14,0.0,25.0,80.0,10.0,3,9,10
9300,Ns W29-27-28-3,SK,CN,Passive,1.0,0.0,30.0,80.0,20.0,3,9,18
9301,Ns W29-28-23-3,SK,CN,Passive,3.0,0.0,40.0,80.0,10.0,3,9,18
9302,Ns W29-29-15-3,SK,CN,Passive,4.0,0.0,25.0,10.0,2.0,3,9,18
9303,Ns W29-36-15-3,SK,CN,Passive,27.86,1.0,60.0,80.0,5.0,3,9,18
9304,Ns W29-36-15-3,SK,CP,Passive,6.0,0.0,40.0,50.0,30.0,3,9,19
9305,Ns W29-59-26-4,AB,CN,Passive,3.0,0.0,35.0,80.0,50.0,3,0,18
