,TC Number,Trains Daily,Vehicles Daily,Train Max Speed (mph),Road Max Speed (km/h),Lanes,Tracks,OccDate,SUBD_OWNER_ABBREV_ENG
7717,36510,31.0,5000.0,50.0,40.0,2.0,2.0,2/16/1994 12:00:00 AM,CN
7718,36510,31.0,5000.0,50.0,40.0,2.0,2.0,2/16/1994 12:00:00 AM,CN
7719,36510,31.0,5000.0,50.0,40.0,2.0,2.0,2/16/1994 12:00:00 AM,CN
7720,13408,2.0,10000.0,25.0,40.0,2.0,1.0,2/15/1994 12:00:00 AM,CN
7721,33548,12.0,750.0,50.0,50.0,2.0,1.0,2/5/1994 12:00:00 AM,CP
7722,33548,12.0,750.0,50.0,50.0,2.0,1.0,2/5/1994 12:00:00 AM,CP
7723,27802,1.0,820.0,10.0,50.0,2.0,1.0,2/14/1994 12:00:00 AM,CP
7724,27802,1.0,820.0,10.0,50.0,2.0,1.0,2/14/1994 12:00:00 AM,CP
7725,14915,,,,,,,2/11/1994 12:00:00 AM,CN
7726,741,24.0,2200.0,60.0,80.0,3.0,1.0,2/12/1994 12:00:00 AM,CN
7727,741,24.0,2200.0,60.0,80.0,3.0,1.0,2/12/1994 12:00:00 AM,CN
7728,741,24.0,2200.0,60.0,80.0,3.0,1.0,2/12/1994 12:00:00 AM,CN
7729,13122,31.7,1275.0,45.0,50.0,2.0,2.0,2/9/1994 12:00:00 AM,CN
7731,32938,4.0,25.0,25.0,80.0,1.0,1.0,2/8/1994 12:00:00 AM,CN
7732,17696,0.27,380.0,40.0,50.0,2.0,1.0,2/8/1994 12:00:00 AM,CN
7733,42502,11.86,100.0,25.0,10.0,2.0,2.0,2/8/1994 12:00:00 AM,CN
7734,33570,11.0,4000.0,35.0,60.0,1.0,1.0,2/8/1994 12:00:00 AM,CP
7735,33570,11.0,4000.0,35.0,60.0,1.0,1.0,2/8/1994 12:00:00 AM,CP
7736,14880,16.0,25.0,60.0,90.0,2.0,1.0,2/7/1994 12:00:00 AM,CN
7737,1785,1.0,10.0,40.0,80.0,2.0,1.0,2/7/1994 12:00:00 AM,CN
7738,1785,1.0,10.0,40.0,80.0,2.0,1.0,2/7/1994 12:00:00 AM,CN
7739,46216,1.0,10.0,,25.0,2.0,1.0,2/7/1994 12:00:00 AM,CP
7740,46216,1.0,10.0,,25.0,2.0,1.0,2/7/1994 12:00:00 AM,CP
7741,17073,27.86,75.0,60.0,80.0,2.0,1.0,2/7/1994 12:00:00 AM,CN
7742,36021,17.0,5404.0,55.0,50.0,2.0,1.0,2/4/1994 12:00:00 AM,CP
7743,7534,9.0,3510.0,50.0,50.0,2.0,1.0,2/4/1994 12:00:00 AM,CN
7744,7534,9.0,3510.0,50.0,50.0,2.0,1.0,2/4/1994 12:00:00 AM,CN
7745,32033,2.0,2334.0,10.0,70.0,2.0,1.0,2/3/1994 12:00:00 AM,CP
7746,32033,2.0,2334.0,10.0,70.0,2.0,1.0,2/3/1994 12:00:00 AM,CP
7747,33342,6.0,5950.0,15.0,50.0,2.0,1.0,2/2/1994 12:00:00 AM,DEV
7748,14921,2.0,31992.0,20.0,50.0,6.0,1.0,2/2/1994 12:00:00 AM,CN
7749,30197,4.0,21000.0,20.0,50.0,2.0,1.0,1/1/1994 12:00:00 AM,CP
7750,33574,11.0,9785.0,35.0,50.0,4.0,1.0,1/30/1994 12:00:00 AM,CP
7751,33574,11.0,9785.0,35.0,50.0,4.0,1.0,1/30/1994 12:00:00 AM,CP
7752,25540,5.0,25.0,30.0,90.0,2.0,1.0,1/28/1994 12:00:00 AM,CP
7753,25540,5.0,25.0,30.0,90.0,2.0,1.0,1/28/1994 12:00:00 AM,CP
7754,13790,6.0,15020.0,40.0,50.0,2.0,1.0,1/15/1994 12:00:00 AM,CN
7755,13790,6.0,15020.0,40.0,50.0,2.0,1.0,1/15/1994 12:00:00 AM,CN
7756,1298,5.0,200.0,40.0,50.0,2.0,1.0,1/25/1994 12:00:00 AM,CN
7757,1298,5.0,200.0,40.0,50.0,2.0,1.0,1/25/1994 12:00:00 AM,CN
7758,1298,5.0,200.0,40.0,50.0,2.0,1.0,1/25/1994 12:00:00 AM,CN
7759,42622,10.0,50.0,,25.0,1.0,1.0,1/25/1994 12:00:00 AM,CN
7760,36681,11.0,1510.0,35.0,15.0,2.0,1.0,1/25/1994 12:00:00 AM,CP
7761,7455,9.0,360.0,35.0,50.0,2.0,1.0,1/24/1994 12:00:00 AM,CN
7762,7845,,,,,,,1/25/1994 12:00:00 AM,CN
7763,7845,,,,,,,1/25/1994 12:00:00 AM,CN
7764,46195,17.0,10.0,45.0,25.0,2.0,1.0,1/24/1994 12:00:00 AM,CP
7765,46195,17.0,10.0,45.0,25.0,2.0,1.0,1/24/1994 12:00:00 AM,CP
7766,5346,0.3,65104.0,0.0,70.0,6.0,1.0,1/25/1994 12:00:00 AM,CN
7767,3212,18.0,86.0,60.0,80.0,2.0,1.0,1/24/1994 12:00:00 AM,CN
7768,3212,18.0,86.0,60.0,80.0,2.0,1.0,1/24/1994 12:00:00 AM,CN
7769,28469,0.0,108.0,10.0,50.0,2.0,1.0,1/24/1994 12:00:00 AM,CP
7770,6859,,,,,,,1/24/1994 12:00:00 AM,CN
